Enter name of dump file: f got: fs, but expected |?
acatry got: acatries, but expected |?
feudal rush got: feudal rushs, but expected |es
cricket flour got: cricket flours, but expected |?
ground-zero got: ground-zeros, but expected |ground-zeroes
akule got: akules, but expected |akule
scurrick got: scurricks, but expected |?
pale thrush got: pale thrushs, but expected |es
brush-up got: brushes-up, but expected 
eqn. got: eqn.s, but expected |?
faspa got: faspas, but expected |?
guetapens got: guetapenses, but expected |?
tropical sweet potato got: tropical sweet potatos, but expected |es
malanga blanca got: malanga blancas, but expected |?
malanga coco got: malanga cocos, but expected |?
malanga lila got: malanga lilas, but expected |?
out-of-box experience got: out-of-box experiences, but expected |?
plate lunch got: plate lunchs, but expected |es
tetrapylon got: tetrapylons, but expected |tetrapyla
tetrakionion got: tetrakionions, but expected |tetrakionia
CertHE got: CertHEs, but expected |?
DipHE got: DipHEs, but expected |?
magister juris got: magister jurises, but expected |?
clavilux got: clavilux, but expected |es
slow steaming got: slow steamings, but expected |?
GSS got: GSSs, but expected |?
eigenanatomy got: eigenanatomies, but expected |?
ependymitis got: ependymitises, but expected |ependymites
nucleomegaly got: nucleomegalies, but expected |?
Rodman got: Rodmen, but expected 
red box got: red boxs, but expected |es
polyazo got: polyazoes, but expected 
protosyncellus got: protosyncelluses, but expected |protosyncelli
asiarch got: asiarches, but expected 
thermoecology got: thermoecologies, but expected |?
procope got: procopes, but expected |?
brasco got: brascoes, but expected 
emasculatrix got: emasculatrixes, but expected |?
pennibrachium got: pennibrachiums, but expected |pennibrachia
faggotface got: faggotfaces, but expected |?
groupo got: groupoes, but expected 
bulbus glandis got: bulbus glandises, but expected |?
prespecification got: prespecifications, but expected |?
meningoencephalomyelitis got: meningoencephalomyelitises, but expected |?
severe fever with thrombocytopenia syndrome got: severe fever with thrombocytopenia syndromes, but expected |?
mitocalcin got: mitocalcins, but expected |?
biadjacency got: biadjacencies, but expected |?
methanococcus got: methanococcuses, but expected |methanococci
radiculoplexus got: radiculoplexuses, but expected |?
sack lunch got: sack lunchs, but expected |es
Ubuntero got: Ubunteroes, but expected 
immunocytokine got: immunocytokine, but expected 
mesocoxa got: mesocoxas, but expected |mesocoxae
virokine got: virokine, but expected 
bitchtits got: bitchtitses, but expected |bitchtits
kinocentrum got: kinocentrums, but expected |kinocentra
baal korei got: baal koreis, but expected |?
uchigatana got: uchigatanas, but expected |uchigatana
camera clara got: camera claras, but expected |?
konze got: konzes, but expected |?
pseudolabium got: pseudolabiums, but expected |pseudolabia
ccy got: ccies, but expected |?
tempestarius got: tempestariuses, but expected |tempestarii
archaellum got: archaellums, but expected |archaella
fagmo got: fagmoes, but expected 
archeabacterium got: archeabacteriums, but expected |archeabacteria
ultramicrobacterium got: ultramicrobacteriums, but expected |ultramicrobacteria
stavrotheotokion got: stavrotheotokions, but expected |stavrotheotokia
sticherarion got: sticherarions, but expected |sticheraria
apolytikion got: apolytikions, but expected |apolytikia
ektenia got: ektenias, but expected |?
stasidion got: stasidions, but expected |stasidia
typikon got: typikons, but expected |typika
lampadarius got: lampadariuses, but expected |lampadarii
lampadarios got: lampadarios, but expected |lampadarioi
protopsaltis got: protopsaltises, but expected |protopsaltai
Pharm.D. got: Pharm.D.s, but expected |?
UTG+1 got: UTG+1s, but expected |?
UTG+2 got: UTG+2s, but expected |?
UTG+3 got: UTG+3s, but expected |?
prokimenon got: prokimenons, but expected |prokimena
prokeimenon got: prokeimenons, but expected |prokeimena
eprix got: eprixes, but expected |?
kondakion got: kondakions, but expected |kondakia
kontakarion got: kontakarions, but expected |kontakaria
kondakarion got: kondakarions, but expected |kondakaria
koukoulion got: koukoulions, but expected |koukoulia
oikos got: oikoses, but expected |oikoi
heirmos got: heirmoses, but expected |heirmoi
heirmologion got: heirmologions, but expected |heirmologia
irmologion got: irmologions, but expected |irmologia
idiomelon got: idiomelons, but expected |idiomela
automelon got: automelons, but expected |automela
lapsus oculi got: lapsus oculis, but expected |?
Aidi got: Aidis, but expected |?
lymphochoriomeningitis got: lymphochoriomeningitises, but expected |?
protobranch got: protobranches, but expected |protobranchs
fudanshi got: fudanshis, but expected |fudanshi
trip-switch got: trip-switchs, but expected |es
she-mullet got: she-mullets, but expected |?|head=[[she]]-[[mullet]]
cytofilius got: cytofiliuses, but expected |cytofilia
spermagonium got: spermagoniums, but expected |spermagonia
amir al-umara got: amir al-umaras, but expected |?
phellem got: phellems, but expected |?
pronociception got: pronociceptions, but expected |?
subrefugium got: subrefugiums, but expected |subrefugia
neopro got: neoproes, but expected 
cafegymatorium got: cafegymatoriums, but expected |?
counterdemo got: counterdemoes, but expected 
prealignment got: prealignments, but expected |?
femorotibialis got: femorotibialises, but expected |?
hypandrium got: hypandriums, but expected |hypandria
iliotrochantericus got: iliotrochantericuses, but expected |?
mitogynogenesis got: mitogynogeneses, but expected |?
obturatorius got: obturatoriuses, but expected |?
surstylus got: surstyluses, but expected |surstyli
assweed got: assweeds, but expected |?
gampi got: gampis, but expected |?
baby elephant in the room got: baby elephant in the rooms, but expected |?
neoshaman got: neoshamen, but expected 
Tojo got: Tojoes, but expected 
pity pie got: pity pies, but expected |?
DBCS got: DBCSs, but expected |?
tardbrain got: tardbrains, but expected |?
e-fraud got: e-frauds, but expected |?
African peach got: African peachs, but expected |es
chloroformyl got: chloroformyls, but expected |?
Aglianico got: Aglianicoes, but expected 
karajishi got: karajishis, but expected |karajishi
yieldco got: yieldcoes, but expected 
swamp cancer got: swamp cancers, but expected |?
towfish got: towfish, but expected |es
one for luck got: some for luck, but expected |?
pavement chalk got: pavement chalks, but expected |?
sidewalk chalk got: sidewalk chalks, but expected |?
video jukebox got: video jukeboxs, but expected |es
fatherkins got: fatherkinses, but expected |fatherkins
stone-cold fox got: stone-cold foxs, but expected |es
kabuki brush got: kabuki brushs, but expected |es
mushroom brush got: mushroom brushs, but expected |es
radial button got: radial buttons, but expected |?
yatai got: yatais, but expected |yatai
ground control got: ground controls, but expected |?
amokura got: amokuras, but expected |?
CAX got: CAXs, but expected |?
hyperemphasis got: hyperemphases, but expected |?
superemphasis got: superemphases, but expected |?
aeolodion got: aeolodions, but expected |?
aeolodicon got: aeolodicons, but expected |?
aeolopantalon got: aeolopantalons, but expected |?
propco got: propcoes, but expected 
octanolysis got: octanolyses, but expected |?
big dog of the tanyard got: big dog of the tanyards, but expected |?
truck and trailer got: truck and trailers, but expected |?
Italian tomato got: Italian tomatos, but expected |es
munro got: munroes, but expected 
duplicarius got: duplicariuses, but expected |duplicarii
podobranchia got: podobranchias, but expected |podobranchiae
juco got: jucoes, but expected 
etiognosis got: etiognoses, but expected |?
cormidium got: cormidiums, but expected |cormidia
neurocentrum got: neurocentrums, but expected |neurocentra
rhinion got: rhinions, but expected |?
reniculus got: reniculuses, but expected |reniculi
first flush got: first flushs, but expected |es
rasm got: rasms, but expected |?
ramex got: ramexes, but expected |?
tlaplon got: tlaplons, but expected |?
devulgarization got: devulgarizations, but expected |?
neopulmo got: neopulmoes, but expected |?
paleopulmo got: paleopulmoes, but expected 
one over the eight got: one over the eights, but expected |?
hard launch got: hard launchs, but expected |es
organella got: organellas, but expected |organellae
caper bush got: caper bushs, but expected |es
crimson clover got: crimson clovers, but expected |?
oriscus got: oriscuses, but expected |orisci
strophicus got: strophicuses, but expected |strophici
salicus got: salicuses, but expected |salici
bivirga got: bivirgas, but expected |bivirgae
trivirga got: trivirgas, but expected |trivirgae
tristropha got: tristrophas, but expected |tristrophae
distropha got: distrophas, but expected |distrophae
bistropha got: bistrophas, but expected |bistrophae
living mulch got: living mulchs, but expected |es
kill-off got: kills-off, but expected 
gonostylus got: gonostyluses, but expected |gonostyli
hemocoagulase got: hemocoagulases, but expected |?
hypoalveolarization got: hypoalveolarizations, but expected |?
centauromachia got: centauromachias, but expected |?
parasyntheton got: parasynthetons, but expected |parasyntheta
nocturnal arch got: nocturnal archs, but expected |es
noos got: noos, but expected |?
manoos got: manoos, but expected |manooses
hamotzi got: hamotzis, but expected |?
car crash got: car crashs, but expected |es
230000
munchy box got: munchy boxs, but expected |es
e-consultancy got: e-consultancys, but expected |e-consultancies
ghost in the machine got: ghost in the machines, but expected |?
BDRF got: BDRFs, but expected |?
acidobacterium got: acidobacteriums, but expected |acidobacteria
calyptopis got: calyptopises, but expected |?
machloket got: machlokets, but expected |machlokot
flexistyly got: flexistylies, but expected |?
broyges got: broygeses, but expected |?
island rule got: island rules, but expected |?
caro sposo got: caro sposos, but expected |?
glacial till got: glacials till, but expected 
ascoconidium got: ascoconidiums, but expected |ascoconidia
puboischiofemoralis got: puboischiofemoralises, but expected |?
everything including the kitchen sink got: everything including the kitchen sinks, but expected |?
endochorion got: endochorions, but expected |?
taclobo got: tacloboes, but expected 
heterocephalus got: heterocephaluses, but expected |?
prezoea got: prezoeas, but expected |prezoeae
taklobo got: takloboes, but expected 
hypospleny got: hyposplenies, but expected |?
immunodomination got: immunodominations, but expected |?
Latinx got: Latinxes, but expected 
bike box got: bike boxs, but expected |es
phorbeia got: phorbeias, but expected |?
caconymy got: caconymies, but expected |?
antidigoxigenin got: antidigoxigenins, but expected |?
spinefoot got: spinefeet, but expected 
cepelinas got: cepelinases, but expected |cepelinai
kroppkaka got: kroppkakas, but expected |kroppkakor
lekythus got: lekythuses, but expected |lekythi
limail got: limails, but expected |?
limeworks got: limeworkses, but expected |limeworks
oligospermatism got: oligospermatisms, but expected |?
cribside got: cribsides, but expected |?
cradleside got: cradlesides, but expected |?
gonyaulax got: gonyaulaxes, but expected |?
ASDS got: ASDSs, but expected |es
chronicization got: chronicizations, but expected |?
quadruman got: quadrumen, but expected 
zorillo got: zorilloes, but expected 
shido got: shidoes, but expected |s|shido
elastinolysis got: elastinolyses, but expected |?
ETT got: ETTs, but expected |?
jurumeiro got: jurumeiroes, but expected 
senectude got: senectudes, but expected |?
sign-on got: signs-on, but expected 
kmph got: kmphs, but expected |kmph
cps got: cpses, but expected |cps
reticello got: reticelloes, but expected |reticelli
zanfirico got: zanfiricoes, but expected |zanfirici
Energiewende got: Energiewendes, but expected |?
son of a got: sons of a, but expected |?
nucleofractis got: nucleofractises, but expected |?
lobopodium got: lobopodiums, but expected |lobopodia
cytoimmunofluorescence got: cytoimmunofluorescences, but expected |?
mitochondriogenesis got: mitochondriogeneses, but expected |?
optostimulation got: optostimulations, but expected |?
multiminicore got: multiminicores, but expected |?
chikkor got: chikkors, but expected |?
microendemism got: microendemisms, but expected |?
prevertebra got: prevertebras, but expected |prevertebrae
COMMARPAC got: COMMARPACs, but expected |?
COMMARCOM got: COMMARCOMs, but expected |?
microhepatica got: microhepaticas, but expected |?
dividivi got: dividivis, but expected |?
gessamine got: gessamines, but expected |?
parametrix got: parametrixes, but expected |parametrices
palaeothalamus got: palaeothalamuses, but expected |?
panaritium got: panaritiums, but expected |panaritia
policide got: policides, but expected |?
gwailo got: gwailoes, but expected 
imagawayaki got: imagawayakis, but expected |imagawayaki
phlyzacium got: phlyzaciums, but expected |phlyzacia
phlyctidium got: phlyctidiums, but expected |phlyctidia
phlyctis got: phlyctises, but expected |phlyctides
wood nuthatch got: wood nuthatchs, but expected |es
ad-hocracy got: ad-hocracys, but expected |ad-hocracies
microswine got: microswines, but expected |microswine
multivibrissa got: multivibrissas, but expected |multivibrissae
camucamu got: camucamus, but expected |?
chabudai got: chabudais, but expected |chabudai
CICO got: CICOs, but expected |?
mesostich got: mesostiches, but expected 
FAST got: FASTs, but expected |?
brayera got: brayeras, but expected |?
half-witch got: half-witchs, but expected |es
omphalus got: omphaluses, but expected |omphali
lady-fly got: lady-flys, but expected |lady-flies|head=[[lady]]-[[fly]]
lampuki got: lampukis, but expected |lampuki
lampuka got: lampukas, but expected |lampuka
khansaman got: khansamen, but expected 
umpan got: umpans, but expected |?
macrococcus got: macrococcuses, but expected |macrococci
tutelarity got: tutelarities, but expected |?
bioadsorption got: bioadsorptions, but expected |?
jam-up got: jams-up, but expected |head=[[jam]]-[[up]]
bronchium got: bronchiums, but expected |bronchia
dirofilaria got: dirofilarias, but expected |?
hyperamylinaemia got: hyperamylinaemias, but expected |?
1-on-1 got: 1s-on-1, but expected 
earth-berry got: earth-berrys, but expected |earth-berries
qualgo got: qualgoes, but expected 
yalah got: yalahs, but expected |?
ogac got: ogacs, but expected |?
depoaxis got: depoaxises, but expected |depoaxes
blastotomy got: blastotomies, but expected |?
Dreimorengesetz got: Dreimorengesetzzes, but expected |?
pleurostoma got: pleurostomas, but expected |pleurostomata
subgena got: subgenas, but expected |?
estanciero got: estancieroes, but expected 
brush-down got: brushes-down, but expected 
come-down got: comes-down, but expected 
ghost skate got: ghost skates, but expected |?
choka got: chokas, but expected |choka
sedoka got: sedokas, but expected |sedoka
shit eye got: shit eyes, but expected |?
acrotrichium got: acrotrichiums, but expected |?
ascochyta got: ascochytas, but expected |?
bradyrhizobium got: bradyrhizobiums, but expected |bradyrhizobia
coaster step got: coaster steps, but expected |?
hypomeron got: hypomerons, but expected |hypomera
hyposialylation got: hyposialylations, but expected |?
oligozeugodactyly got: oligozeugodactylies, but expected |?
pseudoperoxidase got: pseudoperoxidases, but expected |?
SQLi got: SQLis, but expected |?
high doh got: high dohs, but expected |?
flo' got: flo's, but expected |?
exolysis got: exolyses, but expected |?
haemaphysalin got: haemaphysalins, but expected |?
hemimethylation got: hemimethylations, but expected |?
basitibia got: basitibias, but expected |basitibiae
lead-up got: leads-up, but expected 
lead up got: leads up, but expected 
boulti got: boultis, but expected |boulti
botijo got: botijoes, but expected 
kitchen bitch got: kitchen bitchs, but expected |es
vampire squid got: vampire squids, but expected |?
distitarsus got: distitarsuses, but expected |distitarsi
hypermorphosis got: hypermorphoses, but expected |?
mycodiesel got: mycodiesels, but expected |?
kikwembe got: kikwembes, but expected |kikwembe
fore-glory got: fore-glorys, but expected |fore-glories
swack-up got: swacks-up, but expected |head=[[swack]]-[[up]]
ernai got: ernais, but expected |ernai
hyperdontia got: hyperdontias, but expected |?
ferraiuolo got: ferraiuoloes, but expected |?
cacafogo got: cacafogoes, but expected 
superman punch got: superman punchs, but expected |es
distoseptum got: distoseptums, but expected |distosepta
exotunica got: exotunicas, but expected |?
exoascus got: exoascuses, but expected |exoasci
hypertorsion got: hypertorsions, but expected |?
Chinese box got: Chinese boxs, but expected |es
robe decollete got: robe decolletes, but expected |?
kadogo got: kadogoes, but expected |kadogos|kadogo
scratch-off got: scratches-off, but expected |head=[[scratch]]-[[off]]
TELOP got: TELOPs, but expected |?
Telop got: Telops, but expected |?
Boko got: Bokoes, but expected 
over-under-thru got: overs-under-thru, but expected |head=[[over]]-[[under]]-[[thru]]
Verdelho got: Verdelhoes, but expected 
viliago got: viliagoes, but expected 
villiago got: villiagoes, but expected 
podatus got: podatuses, but expected |podati
quilisma got: quilismas, but expected |quilismata
toitoi got: toitois, but expected |?
arasaid got: arasaids, but expected |?
earasaid got: earasaids, but expected |?
earrasaid got: earrasaids, but expected |?
tootsy-wootsy got: tootsy-wootsys, but expected |tootsy-wootsies
homeomery got: homeomeries, but expected |homoeomeries
homecraft got: homecraft, but expected 
Chicanx got: Chicanxes, but expected 
jariya got: jariyas, but expected |jariyat|jawari
kytoplasma got: kytoplasmas, but expected |?
kalpis got: kalpises, but expected |?
krubi got: krubis, but expected |?
krubut got: krubuts, but expected |?
yae got: yaes, but expected |?
empasma got: empasmas, but expected |empasmata
MEZ got: MEZs, but expected |?
triple lock got: triple locks, but expected |?
furol got: furols, but expected |?
cooking torch got: cooking torchs, but expected |es
butt and ben got: butt and bens, but expected |?
alytarch got: alytarches, but expected 
dacryoma got: dacryomas, but expected |dacryomata
doggo got: doggoes, but expected 
parencephalon got: parencephalons, but expected |parencephala
mesoarium got: mesoariums, but expected |mesoaria
hollow body got: hollow bodys, but expected |?
gunworks got: gunworkses, but expected |gunworks
bon-vivant got: bon-vivants, but expected |head=[[bon]]-[[vivant]]|bons-vivants
heretoch got: heretoches, but expected 
acceptivity got: acceptivities, but expected |?
noyon got: noyons, but expected |?
hyperflow got: hyperflows, but expected |?
mimiambus got: mimiambuses, but expected |mimiambi
constancie got: constancies, but expected |?
B.I.T. got: B.I.T.s, but expected |?
B.L.A.S. got: B.L.A.S.s, but expected |?
blebbability got: blebbabilities, but expected |?
hyperthyreosis got: hyperthyreoses, but expected |?
hyperthyrodism got: hyperthyrodisms, but expected |?
motexafin got: motexafins, but expected |?
neuroactivation got: neuroactivations, but expected |?
palynotaxon got: palynotaxons, but expected |palynotaxa
sub-municipality got: sub-municipalitys, but expected |sub-municipalities
O.S. got: O.S.s, but expected |?
hypoacusis got: hypoacuses, but expected |?
osteolineage got: osteolineages, but expected |?
prephase got: prephases, but expected |?
pseudoacinus got: pseudoacinuses, but expected |pseudoacini
interfluvium got: interfluviums, but expected |interfluvia
procercus got: procercuses, but expected |procerci
onchocercoma got: onchocercomas, but expected |onchocercomata
tazomahery got: tazomaheries, but expected |?
uveovortex got: uveovortexes, but expected |?
sciacarello got: sciacarelloes, but expected 
hamartomatosis got: hamartomatoses, but expected |?
immunocorrection got: immunocorrections, but expected |?
medullitis got: medullitises, but expected |?
mesencephal got: mesencephals, but expected |?
mesion got: mesions, but expected |?
mesoduodenum got: mesoduodenums, but expected |mesoduodena
tyroma got: tyromas, but expected |tyromata
typembryo got: typembryoes, but expected 
microbacterium got: microbacteriums, but expected |microbacteria
salvatella got: salvatellas, but expected |?
toothleaf got: toothleaves, but expected 
midcolon got: midcolons, but expected |?
hydroureter got: hydroureters, but expected |?
livin got: livins, but expected |?
neuroretinitis got: neuroretinitises, but expected |?
vitritis got: vitritises, but expected |?
burukutu got: burukutus, but expected |?
periareion got: periareions, but expected |?
periselene got: periselenes, but expected |?
perinigricon got: perinigricons, but expected |?
perisaturnium got: perisaturniums, but expected |?
fold-out got: folds-out, but expected 
glycocalix got: glycocalixes, but expected |glycocalices
hyperinhibition got: hyperinhibitions, but expected |?
Mx. got: Mx.s, but expected |?
leiomyosarcomatosis got: leiomyosarcomatoses, but expected |?
monochromosome got: monochromosomes, but expected |?
final say got: final says, but expected |?
hyperbending got: hyperbendings, but expected |?
mastoncus got: mastoncuses, but expected |?
ovomucoid got: ovomucoids, but expected |?
MV* got: MV*s, but expected |?
Swedish torch got: Swedish torchs, but expected |es
diacoele got: diacoeles, but expected |?
encanthis got: encanthises, but expected |?
show bench got: show benchs, but expected |es
perihermion got: perihermions, but expected |?
whambulance got: whambulances, but expected |?
wahmbulance got: wahmbulances, but expected |?
TPMS got: TPMSs, but expected |?
MoE got: MoEs, but expected |?
MOE got: MOEs, but expected |?
oligosilanyl got: oligosilanyls, but expected |?
leukosequestration got: leukosequestrations, but expected |?
octyloxy got: octyloxies, but expected 
recoordination got: recoordinations, but expected |?
lipidolysis got: lipidolyses, but expected |?
antidesmin got: antidesmins, but expected |?
semiconductance got: semiconductances, but expected |?
digital detox got: digital detoxs, but expected |es
mooi-jai got: mooi-jais, but expected |mooi-jai
adelphotaxon got: adelphotaxons, but expected |adelphotaxa
voisko got: voiskoes, but expected 
bol'shak got: bol'shaks, but expected |?
frommarding got: frommardings, but expected |?
HKCU got: HKCUs, but expected |?
pot-belly got: pot-bellys, but expected |pot-bellies
spongionecrosis got: spongionecroses, but expected |?
pasticciotto got: pasticciottoes, but expected |pasticciotti
dolmadaki got: dolmadakis, but expected |dolmadakia
basicosta got: basicostas, but expected |basicostae
kalamaki got: kalamakis, but expected |?
malidzano got: malidzanoes, but expected |?
Zacuscă got: Zacuscăs, but expected |?
daktyla got: daktylas, but expected |?
stafidopsomo got: stafidopsomoes, but expected |?
pennation got: pennations, but expected |?
vasotonus got: vasotonuses, but expected |?
pussums got: pussumses, but expected |pussums
currant tomato got: currant tomatos, but expected |es
rotovaping got: rotovapings, but expected |?
protozeugma got: protozeugmas, but expected |?
aluwa got: aluwas, but expected |?
lavz got: lavzzes, but expected |?
sohan halva got: sohan halvas, but expected |?
saray halva got: saray halvas, but expected |?
shekarpareh got: shekarparehs, but expected |?
cholothorax got: cholothoraxes, but expected |?
shekerbura got: shekerburas, but expected |?
basbousa got: basbousas, but expected |?
pastūsha got: pastūshas, but expected |?
sambali got: sambalis, but expected |?
Kalburabastı got: Kalburabastıs, but expected |?
kalburabastı got: kalburabastıs, but expected |?
kalburabasma got: kalburabasmas, but expected |?
laminaripentaose got: laminaripentaoses, but expected |?
jiangshi got: jiangshis, but expected |jiangshi
kinnah got: kinnahs, but expected |kinnot|kinnoth
qinah got: qinahs, but expected |qinot|qinoth
lymphocystis got: lymphocystises, but expected |?
instatement got: instatements, but expected |?
mutabbaq got: mutabbaqs, but expected |?
infraserratus got: infraserratuses, but expected |?
supraserratus got: supraserratuses, but expected |?
datto got: dattoes, but expected 
subunguis got: subunguises, but expected |?
roscón got: roscóns, but expected |roscones
nakodo got: nakodoes, but expected |s|nakodo
cotargeting got: cotargetings, but expected |?
leptomeninx got: leptomeninxes, but expected |?
persistent cloaca got: persistent cloacas, but expected |?
steenbras got: steenbrases, but expected |steenbras
235000
Pyrenean ibex got: Pyrenean ibexs, but expected |es
karez got: karezzes, but expected |es
anticurvature got: anticurvatures, but expected |?
atlasing got: atlasings, but expected |?
cetyltrimethlyammonium got: cetyltrimethlyammoniums, but expected |?
dinutuximab got: dinutuximabs, but expected |?
mictocalcification got: mictocalcifications, but expected |?
prolarva got: prolarvas, but expected |prolarvae
kolokithopita got: kolokithopitas, but expected |?
kolokythopita got: kolokythopitas, but expected |?
veg box got: veg boxs, but expected |es
vegetable box got: vegetable boxs, but expected |es
Brig. Gen. got: Brig. Gen.s, but expected |?
hemicolon got: hemicolons, but expected |?
taraiu got: taraius, but expected |taraiu
tubuan got: tubuans, but expected |?
antineutralino got: antineutralinoes, but expected 
antisneutrino got: antisneutrinoes, but expected 
antigravitino got: antigravitinoes, but expected 
lichanos got: lichanoses, but expected |lichanoi
mandiocca got: mandioccas, but expected |?
universal packager got: universal packagers, but expected |?
universal sorter got: universal sorters, but expected |?
machetero got: macheteroes, but expected 
beam reach got: beam reachs, but expected |es
broad reach got: broad reachs, but expected |es
keraunoparalysis got: keraunoparalyses, but expected |?
apotropaion got: apotropaions, but expected |?
sextych got: sextyches, but expected 
sansculottism got: sansculottisms, but expected |?
girsh got: girshes, but expected |girsh
syame got: syames, but expected |?
paximadi got: paximadis, but expected |?
eliopsomo got: eliopsomoes, but expected |?
aminobutyric acid got: aminobutyric acids, but expected |?
zizit got: zizits, but expected |?
zoecium got: zoeciums, but expected |zoecia
EAV got: EAVs, but expected |?
urman got: urmen, but expected 
zemstwo got: zemstwoes, but expected 
neutretto got: neutrettoes, but expected 
nyctalops got: nyctalopses, but expected |nyctalopes
ribogenesis got: ribogeneses, but expected |?
tuberositas got: tuberositases, but expected |?
surazo got: surazoes, but expected 
amidolysis got: amidolyses, but expected |?
bene bowse got: bene bowses, but expected |?
pharyngolaryngitis got: pharyngolaryngitises, but expected |pharyngolaryngites
laryngopharyngitis got: laryngopharyngitises, but expected |laryngopharyngitides
photosymbiosis got: photosymbioses, but expected |?
polycarbon got: polycarbons, but expected |?
LEB got: LEBs, but expected |?
biocartilage got: biocartilages, but expected |?
seropositioning got: seropositionings, but expected |?
immunoelectrotransfer got: immunoelectrotransfers, but expected |?
quasilikelihood got: quasilikelihoods, but expected |?
xuixo got: xuixoes, but expected 
xuxo got: xuxoes, but expected 
gyabrag got: gyabrags, but expected |?
zhoixo got: zhoixoes, but expected |?
gyaho got: gyahoes, but expected |?
xabbatog got: xabbatogs, but expected |?
yellow patch got: yellow patchs, but expected |es
spray-on got: sprays-on, but expected |head=[[spray]]-[[on]]
menacme got: menacmes, but expected |?
mesepisternum got: mesepisternums, but expected |mesepisterna
metacoxa got: metacoxas, but expected |metacoxae
patrix got: patrixes, but expected |patrices
procoxa got: procoxas, but expected |procoxae
hocchiku got: hocchikus, but expected |?
hochiku got: hochikus, but expected |?
slaugh got: slaughs, but expected |?
discoidin got: discoidins, but expected |?
fiberscopy got: fiberscopies, but expected |?
pinjopo got: pinjopoes, but expected |?
polydiversity got: polydiversities, but expected |?
cool box got: cool boxs, but expected |es
ice box got: ice boxs, but expected |es
europinidin got: europinidins, but expected |?
neo-reactionary got: neo-reactionarys, but expected |neo-reactionaries
detrapping got: detrappings, but expected |?
glycopyranosyl got: glycopyranosyls, but expected |?
chahou kheer got: chahou kheers, but expected |?
dosido got: dosidoes, but expected 
PMF got: PMFs, but expected |?
arculus got: arculuses, but expected |?
bottle flipping got: bottle flippings, but expected |?
preabdomen got: preabdomen, but expected |s|preabdomina
carve-up got: carves-up, but expected 
SPINA-GT got: SPINA-GTs, but expected |?
aryballo got: aryballoes, but expected 
hemipons got: hemiponses, but expected |hemipontes
hepatogenesis got: hepatogeneses, but expected |?
tetrastoon got: tetrastoons, but expected |tetrastoa
alkaline hydrolysis got: alkaline hydrolysises, but expected |?
disadaptation got: disadaptations, but expected |?
epididymoorchitis got: epididymoorchitises, but expected |epididymoorchitides
hypocholinergia got: hypocholinergias, but expected |?
microtiming got: microtimings, but expected |?
sechach got: sechaches, but expected 
leukoerythroblastosis got: leukoerythroblastoses, but expected 
cryptoportico got: cryptoporticoes, but expected 
mictoplasm got: mictoplasms, but expected |?
neurosenescence got: neurosenescences, but expected |?
geek-out got: geeks-out, but expected 
gynandrium got: gynandriums, but expected |gynandria
gynostegium got: gynostegiums, but expected |gynostegia
archesporium got: archesporiums, but expected |archesporia
phacoiridencleisis got: phacoiridencleises, but expected |?
stolbur got: stolburs, but expected |?
suck-out got: sucks-out, but expected 
epiphallus got: epiphalluses, but expected |epiphalli
word-stock got: word-stocks, but expected |word-stock
fibroatrophy got: fibroatrophies, but expected |?
asialogalactose got: asialogalactoses, but expected |?
laouta got: laoutas, but expected |?
posing pouch got: posing pouchs, but expected |es
dedoping got: dedopings, but expected |?
homocoiling got: homocoilings, but expected |?
decaging got: decagings, but expected |?
oxepinoxy got: oxepinoxies, but expected 
allosterism got: allosterisms, but expected |?
peribothron got: peribothrons, but expected |peribothra
tulou got: tulous, but expected |tulou
arsenazo got: arsenazoes, but expected 
hydroxylamino got: hydroxylaminoes, but expected 
armatolos got: armatoloses, but expected |armatoloi
mockito got: mockitoes, but expected 
oxophilicity got: oxophilicities, but expected |?
nae nae got: nae naes, but expected |?
twelve-inch got: twelve-inchs, but expected |es|head=[[twelve]]-[[inch]]
fluorescyl got: fluorescyls, but expected |?
dirt sandwich got: dirt sandwichs, but expected |es
flatband got: flatbands, but expected |?
mechanostimulus got: mechanostimuluses, but expected |mechanostimuli
errno got: errnoes, but expected 
draw-up got: draws-up, but expected 
sfx got: sfxes, but expected |?
pseudo-controversy got: pseudo-controversys, but expected |pseudo-controversies
arm pump got: arm pumps, but expected |?
sk. got: sk.s, but expected |?
red lynx got: red lynxs, but expected |es
chummo got: chummoes, but expected 
methoxyethoxy got: methoxyethoxies, but expected |?
tailswing got: tailswings, but expected |?
tail swing got: tail swings, but expected |?
solvatofluorochromism got: solvatofluorochromisms, but expected |?
Cassandra complex got: Cassandra complexs, but expected |es
photostabilization got: photostabilizations, but expected |?
Mr. Hyde got: Mr. Hydes, but expected |?
Dr. Jekyll got: Dr. Jekylls, but expected |?
vonce got: vonces, but expected |?
tosylimido got: tosylimidoes, but expected 
oxoiron got: oxoirons, but expected |?
superlocalization got: superlocalizations, but expected |?
bridal carry got: bridal carrys, but expected |?
camel clutch got: camel clutchs, but expected |es
succès de scandale got: succès de scandales, but expected |?
succes de scandale got: succes de scandales, but expected |?
pyrrolidinyloxy got: pyrrolidinyloxies, but expected 
succès fou got: succès fous, but expected |?
minyen got: minyens, but expected |minyonim
minyon got: minyons, but expected |minyonim
endosomolysis got: endosomolyses, but expected |?
troch. got: troch.s, but expected |?
haematophagy got: haematophagies, but expected 
alkylimino got: alkyliminoes, but expected 
